epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.632,2.77818,9.82361,2.71739,0.35297,0.4083,0.28343,0.08346,2.6087,1.92017,2.55075,0.000291429,0.000291429,0.0405771
2,168.719,2.41438,2.03487,2.36497,0.018,0.13537,0.00744,0.00262,3.21029,114.164,2.95869,0.000591249,0.000591249,0.030877
3,211.425,2.35691,1.89441,2.37382,0.34014,0.30786,0.1855,0.05221,2.78745,5.51587,2.50801,0.000890348,0.000890348,0.0211761
4,256.116,2.38275,1.90385,2.32753,0.30144,0.28384,0.18505,0.05984,2.74629,3.32574,2.34615,0.00118818,0.00118818,0.0114739
5,301.061,2.39728,1.88737,2.34894,0.38518,0.22271,0.17534,0.05009,2.73946,5.00783,2.32301,0.00148421,0.00148421,0.00176992
6,345.658,2.39754,1.86158,2.34966,0.03732,0.46943,0.02642,0.00825,2.65139,inf,2.41677,0.00148866,0.00148866,0.00148866
7,390.043,2.38776,1.95826,2.29499,0.43924,0.51528,0.43631,0.10675,2.79699,2.67102,2.46433,0.00148369,0.00148369,0.00148369
8,435.815,2.30635,1.8325,2.30215,0.52506,0.40393,0.37208,0.12415,2.50934,3.43545,2.31009,0.00147783,0.00147783,0.00147783
9,477.992,2.2959,1.7659,2.25372,0.48308,0.49992,0.43072,0.11511,2.65151,2.42764,2.35861,0.00147109,0.00147109,0.00147109
10,522.134,2.26401,1.68725,2.24819,0.33786,0.32533,0.238,0.07037,2.57175,3.14173,2.32644,0.00146348,0.00146348,0.00146348
11,565.705,2.31518,1.75242,2.27965,0.49186,0.45415,0.4165,0.13611,2.5187,1.7932,2.29247,0.001455,0.001455,0.001455
12,609.428,2.31303,1.72458,2.2401,0.43006,0.4083,0.34593,0.11781,2.66271,1.66899,2.34857,0.00144566,0.00144566,0.00144566
13,652.715,2.16509,1.63934,2.22699,0.48437,0.38865,0.35128,0.11307,2.63466,2.24069,2.37617,0.00143548,0.00143548,0.00143548
14,698.323,2.25904,1.68417,2.2199,0.41934,0.47598,0.3903,0.12669,2.42272,1.85756,2.19955,0.00142448,0.00142448,0.00142448
15,742.993,2.28063,1.74887,2.23548,0.48778,0.37634,0.32875,0.09991,2.61308,4.08562,2.31569,0.00141265,0.00141265,0.00141265
16,786.132,2.22002,1.67533,2.24061,0.30854,0.33406,0.23935,0.08216,2.49221,4.3826,2.21092,0.00140002,0.00140002,0.00140002
17,830.329,2.20965,1.734,2.20158,0.4711,0.54367,0.43301,0.10509,2.81218,1.80375,2.3957,0.00138661,0.00138661,0.00138661
18,874.521,2.24166,1.66673,2.19544,0.6017,0.54585,0.54693,0.14022,2.64971,1.67011,2.35557,0.00137242,0.00137242,0.00137242
19,918.954,2.19408,1.59383,2.22955,0.51963,0.50218,0.46056,0.10951,2.77109,1.92175,2.36692,0.00135748,0.00135748,0.00135748
20,963.87,2.2216,1.61428,2.21673,0.56115,0.47598,0.45849,0.10695,2.79112,1.88797,2.4341,0.0013418,0.0013418,0.0013418
21,1008.42,2.16786,1.59589,2.2597,0.50033,0.47662,0.40331,0.09308,2.8317,2.35576,2.39059,0.00132541,0.00132541,0.00132541
22,1051.97,2.27351,1.63633,2.1924,0.54545,0.5371,0.4917,0.14412,2.50657,1.82145,2.22786,0.00130832,0.00130832,0.00130832
23,1098.17,2.20592,1.61239,2.21356,0.56441,0.56769,0.52934,0.15224,2.46304,1.54643,2.2031,0.00129056,0.00129056,0.00129056
24,1142.82,2.19251,1.53564,2.20267,0.56936,0.51384,0.52031,0.15882,2.46187,1.69853,2.22696,0.00127214,0.00127214,0.00127214
25,1187.46,2.15707,1.64466,2.19733,0.5629,0.53057,0.56153,0.18619,2.33851,2.06039,2.17502,0.00125309,0.00125309,0.00125309
26,1231.55,2.22929,1.61838,2.14784,0.53407,0.55895,0.52953,0.16275,2.4657,1.595,2.22175,0.00123343,0.00123343,0.00123343
27,1277.17,2.20021,1.61888,2.12512,0.61398,0.55459,0.57385,0.18992,2.38219,1.65823,2.17945,0.00121319,0.00121319,0.00121319
28,1322.71,2.17128,1.58196,2.16864,0.57608,0.53493,0.53967,0.16273,2.45627,1.66976,2.2157,0.00119238,0.00119238,0.00119238
29,1368.02,2.15075,1.51566,2.13084,0.51439,0.51747,0.50099,0.13006,2.55739,2.72795,2.26066,0.00117105,0.00117105,0.00117105
30,1412.61,2.17342,1.531,2.10474,0.40539,0.50437,0.3662,0.08173,2.80077,1.78995,2.37874,0.0011492,0.0011492,0.0011492
31,1457.96,2.10343,1.50664,2.14451,0.58416,0.5786,0.57674,0.17201,2.43124,1.53365,2.20449,0.00112688,0.00112688,0.00112688
